epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,3942.55,0.36012,0.26777,0.82405,0.87756,0.73135,0.79601,0.67415,0.45886,0.44816,0.84207,2.65074e-05,2.65074e-05,2.65074e-05
149,3969.1,0.36368,0.27004,0.82521,0.9094,0.71533,0.79229,0.67016,0.45671,0.43666,0.84418,2.60074e-05,2.60074e-05,2.60074e-05
150,3995.39,0.36018,0.27072,0.8246,0.90644,0.71691,0.79977,0.67834,0.45653,0.43308,0.84226,2.55074e-05,2.55074e-05,2.55074e-05
151,4021.82,0.3771,0.28137,0.82733,0.90005,0.72401,0.79796,0.67684,0.46077,0.4454,0.83994,2.50075e-05,2.50075e-05,2.50075e-05
152,4048.3,0.35883,0.26435,0.82204,0.89433,0.71787,0.79731,0.68058,0.45401,0.43202,0.83815,2.45075e-05,2.45075e-05,2.45075e-05
153,4075.24,0.36518,0.27118,0.82356,0.90853,0.71332,0.79417,0.67458,0.45979,0.42745,0.8434,2.40076e-05,2.40076e-05,2.40076e-05
154,4101.65,0.36677,0.26889,0.82102,0.9221,0.70207,0.79734,0.67827,0.45948,0.43159,0.8455,2.35076e-05,2.35076e-05,2.35076e-05
155,4128.25,0.36064,0.26735,0.82468,0.90998,0.7139,0.79249,0.6765,0.4604,0.4399,0.84403,2.30077e-05,2.30077e-05,2.30077e-05
156,4154.84,0.35808,0.26902,0.82562,0.91429,0.7085,0.79384,0.67726,0.45727,0.43859,0.84453,2.25077e-05,2.25077e-05,2.25077e-05
157,4181.31,0.36078,0.27245,0.82631,0.90776,0.72747,0.79642,0.67817,0.45262,0.43726,0.84203,2.20078e-05,2.20078e-05,2.20078e-05
158,4207.94,0.36165,0.26689,0.82543,0.90148,0.72001,0.798,0.67791,0.453,0.44245,0.84038,2.15078e-05,2.15078e-05,2.15078e-05
159,4234.98,0.36102,0.26342,0.82436,0.92769,0.70488,0.79629,0.6775,0.45115,0.43692,0.83761,2.10079e-05,2.10079e-05,2.10079e-05
160,4261.72,0.35483,0.26531,0.822,0.91875,0.71519,0.79729,0.67765,0.45021,0.44401,0.83673,2.05079e-05,2.05079e-05,2.05079e-05
161,4288.21,0.35081,0.26382,0.81959,0.93222,0.70544,0.79429,0.67312,0.44852,0.44245,0.83496,2.0008e-05,2.0008e-05,2.0008e-05
162,4314.92,0.3465,0.25941,0.82006,0.91663,0.70895,0.79535,0.67423,0.45536,0.447,0.84106,1.9508e-05,1.9508e-05,1.9508e-05
163,4341.37,0.35799,0.26321,0.82474,0.92685,0.70396,0.79382,0.67425,0.45733,0.44259,0.84498,1.90081e-05,1.90081e-05,1.90081e-05
164,4367.92,0.36022,0.26188,0.82769,0.9361,0.69541,0.79722,0.6744,0.45642,0.44296,0.84187,1.85082e-05,1.85082e-05,1.85082e-05
165,4394.5,0.35334,0.26012,0.81969,0.93882,0.69487,0.79763,0.67795,0.4521,0.43301,0.83922,1.80082e-05,1.80082e-05,1.80082e-05
166,4421.01,0.35612,0.26455,0.82265,0.93514,0.70253,0.79767,0.67963,0.45053,0.4286,0.8369,1.75083e-05,1.75083e-05,1.75083e-05
